"Date","Close","Open","High","Low","percentage"
"2019年3月18日","1.1693","1.1692","1.1701","1.1683","0.01%"
"2019年3月15日","1.1692","1.1674","1.1699","1.1663","0.14%"
"2019年3月14日","1.1676","1.1706","1.1714","1.1667","-0.24%"
"2019年3月13日","1.1704","1.1700","1.1709","1.1690","0.02%"
"2019年3月12日","1.1702","1.1663","1.1703","1.1663","0.27%"
"2019年3月11日","1.1670","1.1685","1.1692","1.1670","-0.08%"
"2019年3月8日","1.1679","1.1689","1.1689","1.1668","-0.09%"
"2019年3月7日","1.1690","1.1695","1.1710","1.1684","-0.05%"
"2019年3月6日","1.1696","1.1704","1.1715","1.1683","-0.06%"
"2019年3月5日","1.1703","1.1700","1.1722","1.1697","0.00%"
"2019年3月4日","1.1703","1.1705","1.1744","1.1703","0.00%"
"2019年3月1日","1.1703","1.1724","1.1729","1.1698","-0.20%"
"2019年2月28日","1.1726","1.1735","1.1757","1.1724","-0.10%"
"2019年2月27日","1.1738","1.1720","1.1765","1.1719","0.20%"
"2019年2月26日","1.1715","1.1728","1.1737","1.1705","-0.15%"
"2019年2月25日","1.1733","1.1692","1.1768","1.1692","0.39%"
"2019年2月22日","1.1688","1.1683","1.1690","1.1655","0.09%"
"2019年2月21日","1.1678","1.1673","1.1729","1.1665","0.00%"
"2019年2月20日","1.1678","1.1614","1.1693","1.1614","0.56%"
"2019年2月19日","1.1613","1.1601","1.1615","1.1572","0.13%"
"2019年2月18日","1.1598","1.1581","1.1621","1.1580","0.09%"
"2019年2月15日","1.1587","1.1594","1.1606","1.1578","-0.01%"
"2019年2月14日","1.1588","1.1610","1.1611","1.1572","-0.18%"
"2019年2月13日","1.1609","1.1584","1.1624","1.1583","0.20%"
"2019年2月12日","1.1586","1.1554","1.1596","1.1549","0.28%"
"2019年2月11日","1.1554","1.1633","1.1633","1.1552","-0.70%"
"2019年2月8日","1.1635","1.1635","1.1636","1.1631","0.00%"
"2019年2月7日","1.1635","1.1633","1.1635","1.1631","0.02%"
"2019年2月6日","1.1633","1.1632","1.1634","1.1631","0.01%"
"2019年2月5日","1.1632","1.1634","1.1634","1.1631","-0.02%"
"2019年2月4日","1.1634","1.1634","1.1634","1.1630","0.00%"
"2019年2月1日","1.1634","1.1705","1.1707","1.1630","-0.65%"
